"Name of Satellite, Alternate Names",Country of Owner,Owner,Users,Purpose,Class of Orbit,Date of Launch,Launch Site,Coordinates,Launch Vehicle
AsiaSat-5,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,11-08-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane
Amos 5,Israel,Space-Communication Ltd,Military/Commercial,Communications,GEO,11-12-11,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
"Glonass 721 (Glonass 37-1, Cosmos 2435)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,25-12-07,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
"Glonass 723 (Glonass 37-3, Cosmos 2436)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,25-12-07,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
"Glonass 725 (Glonass 38-2, Cosmos 2443)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,25-09-08,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
"Glonass 730 (Glonass 41-1, Cosmos 2456)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,14-12-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
"Glonass 733 (Glonass 41-2, Cosmos 2457)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,14-12-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
"Glonass 734 (Glonass 41-3, Cosmos 2458)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,14-12-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
"Glonass 731 (Glonass 42-1, Cosmos 2459)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,01-03-10,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
"Glonass 732 (Glonass 42-3, Cosmos 2460)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,01-03-10,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
"Glonass 735 (Glonass 42-2, Cosmos 2461)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,01-03-10,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5G
"Glonass 736 (Glonass 43-1, Cosmos 2464)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,02-09-10,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5G
"Glonass 737 (Glonass 43-2, Cosmos 2465)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,02-09-10,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5G
"Glonass 738 (Glonass 43-3, Cosmos 2466)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,02-09-10,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5G
"Glonass 743 (Glonass 44-2, Cosmos 2476)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,04-11-11,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5G
"Glonass 744 (Glonass 44-3, Cosmos 2477)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,04-11-11,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5G
"Glonass 745 (Glonass 44-1, Cosmos 2475)",Russia,Ministry of Defense,Military/Commercial,Navigation,MEO,04-11-11,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5G
DirecTV-8,USA,"DirecTV, Inc.",Commercial,Communications,GEO,22-05-05,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5G
Eutelsat Hot Bird 13B (Hot Bird 8),France,Eutelsat S.A.,Commercial,Communications,GEO,04-08-06,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5G
"NSS-10 (Star One C-12, AMC-12, Americom 12, Worldsat 2)",Netherlands,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,03-02-05,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5G
Intelsat 23,USA,"Intelsat, S.A.",Commercial,Communications,GEO,14-10-12,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5G
KazSat-2,Kazakhstan,JSC KazSat,Commercial,Communications,GEO,15-07-11,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5G
KazSat-3,Kazakhstan,JSC KazSat,Commercial,Communications,GEO,28-04-14,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5G
Astra 2G,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,27-12-14,Baikonur Cosmodrome,45.8595;63.3134,Ariane 5 ECA
"Radio-ROSTO (RS-15, Radio Sputnik 15, Russian Defence, Sports and Technical Organization - ROSTO)",Russia,RS3A Control Station,Civil,Communications,MEO,26-12-94,Baikonur Cosmodrome,45.8595;63.3134,Athena 1
"Salsa (part of Cluster quartet, Cluster 2 FM6)",Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency (and 250 international scientific investigators),Government,Space Science,Elliptical,16-07-00,Baikonur Cosmodrome,45.8595;63.3134,Atlas
"Samba (part of Cluster quartet, Cluster 2 FM7)",Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency (and 250 international scientific investigators),Government,Space Science,Elliptical,16-07-00,Baikonur Cosmodrome,45.8595;63.3134,Atlas
"Rumba (part of Cluster quartet, Cluster 2 FM5)",Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency (and 250 international scientific investigators),Government,Space Science,Elliptical,09-08-00,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2
"Tango (part of Cluster quartet, Cluster 2 FM8)",Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Agency (and 250 international scientific investigators),Government,Space Science,Elliptical,09-08-00,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2
Radarsat-2 ,Canada,Radarsat International,Commercial,Earth Observation,LEO,14-12-07,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2
"Globalstar M081 (Globalstar 81, Globalstar 2-11)",USA,Globalstar,Commercial,Communications,LEO,13-07-11,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2
"Globalstar M083 (Globalstar 83, Globalstar 2-7)",USA,Globalstar,Commercial,Communications,LEO,13-07-11,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2
"Globalstar M085 (Globalstar 85, Globalstar 2-10)",USA,Globalstar,Commercial,Communications,LEO,13-07-11,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2
"Globalstar M088 (Globalstar 88, Globalstar 2-8)",USA,Globalstar,Commercial,Communications,LEO,13-07-11,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2A
"Globalstar M089 (Globalstar 89, Globalstar 2-12)",USA,Globalstar,Commercial,Communications,LEO,13-07-11,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2A
"Globalstar M091 (Globalstar 91, Globalstar 2-9)",USA,Globalstar,Commercial,Communications,LEO,13-07-11,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2A
BeeSat-2 (Berlin Experimental and Educational Satellite 2),Germany,Institut für Luft- und Raumfahrt,Civil,Technology Development,LEO,19-04-13,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2A
BeeSat-3 (Berlin Experimental and Educational Satellite 3),Germany,Institut für Luft- und Raumfahrt,Civil,Technology Development,LEO,19-04-13,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2A
AIST-2,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,LEO,19-04-13,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2A
"Globalstar M080 (Globalstar 80, Globalstar 2-14)",USA,Globalstar,Commercial,Communications,LEO,28-12-11,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2A
"Globalstar M082 (Globalstar 82, Globalstar 2-15)",USA,Globalstar,Commercial,Communications,LEO,28-12-11,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2A
"Globalstar M084 (Globalstar 84, Globalstar 2-13) ",USA,Globalstar,Commercial,Communications,LEO,28-12-11,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2A
"Globalstar M086 (Globalstar 86, Globalstar 2-18)",USA,Globalstar,Commercial,Communications,LEO,28-12-11,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2A
"Globalstar M090 (Globalstar 90, Globalstar 2-17)",USA,Globalstar,Commercial,Communications,LEO,28-12-11,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2AS
"Globalstar M092 (Globalstar 92, Globalstar 2-16)",USA,Globalstar,Commercial,Communications,LEO,28-12-11,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2AS
MetOp-B (Meteorological Operational satellite),Austria/Belgium/Bulgaria/Croatia/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Iceland/Ireland/Italy/Latvia/Lithuania/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Slovak Republic/Slovenia/Spain/Sweden/Switzerland/Turkey/United Kingdom/Canada,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Government/Civil,Earth Observation,LEO,17-09-12,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2AS
Meteor-M N-2,Russia,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Government,Earth Observation,LEO,08-07-14,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2AS
Resurs-P3,Russia,Russian Federal Space Agency (Roskosmos),Government/Commercial,Earth Observation,LEO,13-03-16,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2AS
Resurs-P2,Russia,Russian Federal Space Agency (Roskosmos),Government/Commercial,Earth Observation/Communications/Space Science,LEO,26-12-14,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2AS
Globalstar M023 (Globalstar 9),USA,Globalstar ,Commercial,Communications,LEO,09-02-99,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2AS
Globalstar M040 (Globalstar 10),USA,Globalstar ,Commercial,Communications,LEO,09-02-99,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2AS
Globalstar M037 (Globalstar 16),USA,Globalstar ,Commercial,Communications,LEO,15-03-99,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2AS
Globalstar M031 (Globalstar 44),USA,Globalstar ,Commercial,Communications,LEO,18-10-99,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2AS
Globalstar M056 (Globalstar 43),USA,Globalstar ,Commercial,Communications,LEO,18-10-99,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2AS
Globalstar M059 (Globalstar 42),USA,Globalstar ,Commercial,Communications,LEO,18-10-99,Baikonur Cosmodrome,45.8595;63.3134,Atlas 2AS
Globalstar M029 (Globalstar 47),USA,Globalstar ,Commercial,Communications,LEO,22-11-99,Baikonur Cosmodrome,45.8595;63.3134,Atlas 3
Globalstar M039 (Globalstar 45),USA,Globalstar ,Commercial,Communications,LEO,22-11-99,Baikonur Cosmodrome,45.8595;63.3134,Atlas 3
"Globalstar M078 (Globalstar 95, Globalstar 2-23)",USA,Globalstar,Commercial,Communications,LEO,06-02-13,Baikonur Cosmodrome,45.8595;63.3134,Atlas 3A
"Globalstar M093 (Globalstar 87, Globalstar 2-20)",USA,Globalstar,Commercial,Communications,LEO,06-02-13,Baikonur Cosmodrome,45.8595;63.3134,Atlas 3B
"Globalstar M094 (Globalstar 93, Globalstar 2-21)",USA,Globalstar,Commercial,Communications,LEO,06-02-13,Baikonur Cosmodrome,45.8595;63.3134,Atlas 3B
"Globalstar M095 (Globalstar 96, Globalstar 2-24)",USA,Globalstar,Commercial,Communications,LEO,06-02-13,Baikonur Cosmodrome,45.8595;63.3134,Atlas 3B
"Globalstar M096 (Globalstar 94, Globalstar 2-22)",USA,Globalstar,Commercial,Communications,LEO,06-02-13,Baikonur Cosmodrome,45.8595;63.3134,Atlas 3B
"Globalstar M097 (Globalstar 78, Globalstar 2-19)",USA,Globalstar,Commercial,Communications,LEO,06-02-13,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
DX-1 (Dauria Experimental 1),Russia,Dauria Aerospace,Commercial,Communications,LEO,08-07-14,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
AISSat-2 (Automatic Identification System Satellite-2),Norway,Norwegian Coastal Admnistration,Government,Communications,LEO,08-07-14,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
SkySat-2,USA,Terra Bella,Commercial,Earth Observation,LEO,08-07-14,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Relek (ICA-FC1),Russia ,Skobeltsyn Institute of Nuclear Physics,Government,Earth Observation,LEO,08-07-14,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Resurs-P1,Russia,Russian Federal Space Agency (Roskosmos),Government/Commercial,Earth Observation,LEO,25-06-13,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
TechDemoSat-1,United Kingdom,Technology Strategy Board,Government,Technology Development,LEO,08-07-14,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
UKube-1 (UK Cubesat 1),United Kingdom,UK Space Agency,Government,Technology Development,LEO,08-07-14,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
exactView 1,Canada,exactEarth,Commercial,Communications,LEO,22-07-12,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Globalstar M071 (Globalstar 71),USA,Globalstar,Commercial,Communications,LEO,29-05-07,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Globalstar M072 (Globalstar 72),USA,Globalstar,Commercial,Communications,LEO,29-05-07,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Globalstar M066 (Globalstar 66),USA,Globalstar,Commercial,Communications,LEO,20-10-07,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Globalstar M067 (Globalstar 67),USA,Globalstar,Commercial,Communications,LEO,20-10-07,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Globalstar M068 (Globalstar 68),USA,Globalstar,Commercial,Communications,LEO,20-10-07,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Globalstar M070 (Globalstar 70),USA,Globalstar,Commercial,Communications,LEO,20-10-07,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
"Globalstar M073 (Globalstar 73, Globalstar 2-6)",USA,Globalstar,Commercial,Communications,LEO,19-10-10,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
"Globalstar M074 (Globalstar 74, Globalstar 2-2)",USA,Globalstar,Commercial,Communications,LEO,19-10-10,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
"Globalstar M075 (Globalstar 75, Globalstar 2-5)",USA,Globalstar,Commercial,Communications,LEO,19-10-10,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
"Globalstar M076 (Globalstar 76, Globalstar 2-3)",USA,Globalstar,Commercial,Communications,LEO,19-10-10,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
"Globalstar M077 (Globalstar 77, Globalstar 2-4)",USA,Globalstar,Commercial,Communications,LEO,19-10-10,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
"Globalstar M079 (Globalstar 79, Globalstar 2-1)",USA,Globalstar,Commercial,Communications,LEO,19-10-10,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
MKA-FKI-1 (Zond PP),Russia,Lavochkin Research and Production Association (Lavochkin NPO),Government,Earth Observation,LEO,22-07-12,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
BKA 2 (BelKA 2),Belarus,National Academy of Sciences,Government,Earth Observation,LEO,22-07-12,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Canopus-B (Kanopus Vulcan 1) ,Russia,Scientific Production Corporation (joint stock creation of Russian Space Agency),Government,Earth Observation,LEO,22-07-12,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Resurs-DK1 (Resurs - High Resolution 1),Russia,TsSKB Progress (State Research & Production Space Rocket Center),Government/Commercial,Earth Observation,LEO,15-06-06,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
"TET-1 (Technologieerprobungsträger 1, Technology Experiment Carrier)",Germany,German Aerospace Center,Commercial,Technology Development,LEO,22-07-12,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Galaxy-14,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,13-08-05,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Amos 2 ,Israel,Israel Aircraft Industries,Military/Commercial,Communications,GEO,27-12-03,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Globalstar M065 (Globalstar 65),USA,Globalstar,Commercial,Communications,LEO,29-05-07,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Globalstar M069 (Globalstar 69),USA,Globalstar,Commercial,Communications,LEO,29-05-07,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
MetOp-A (Meteorological Operational satellite),Austria/Belgium/Bulgaria/Croatia/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Iceland/Ireland/Italy/Latvia/Lithuania/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Slovak Republic/Slovenia/Spain/Sweden/Switzerland/Turkey/United Kingdom/Canada,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Government/Civil,Earth Observation,LEO,19-10-06,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Condor E2 ,South Africa,Armed Forces,Military,Earth Observation,LEO,19-12-14,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Kondor (Cosmos 2487),Russia,Ministry of Defense,Military,Earth Observation,LEO,27-06-13,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Intelsat 18 (IS-18),USA,"Intelsat, S.A.",Commercial,Communications,GEO,05-10-11,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Electro-L1 (GOMS 2 [Geostationary Operational Meteorological Satellite 2],Russia,    Roshydromet - Planeta,Government,Earth Observation,GEO,20-01-11,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Electro-L2 ,Russia, Roshydromet - Planeta,Government,Earth Observation,GEO,11-12-15,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Maroc Tubsat ,Morocco/Germany,CTRS Morocco/Institut für Luft-und Raumfahrttechnik (Berlin),Government,Technology Development,LEO,10-12-01,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Tselina-2 (Cosmos 2428),Russia,Ministry of Defense,Military,Earth Observation,LEO,29-06-07,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Amos 4,Israel,Space-Communication Ltd,Military/Commercial,Communications,GEO,31-08-13,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
"Intelsat 15 (IS-15, JCSat 85)",USA,"Intelsat, S.A./Sky Perfect JSAT Corp.",Commercial,Communications,GEO,30-11-09,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Measat 3A (Malaysia East Asia Sat 3A),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,21-06-09,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Amos 3,Israel,Space-Communication Ltd,Military/Commercial,Communications,GEO,28-04-08,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
Spektr-R/RadioAstron,Russia,Astro Space Center of Moscow/Russian Academy of Sciences,Government,Space Science,LEO,18-07-11,Baikonur Cosmodrome,45.8595;63.3134,Atlas 5
INMARSAT 3 F3 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,18-12-96,Cape Canaveral,28.3922;-80.6077,Atlas 5
Intelsat 14 (IS-14),USA,"Intelsat, S.A.",Commercial,Communications,GEO,23-11-09,Cape Canaveral,28.3922;-80.6077,Atlas 5
"UFO-2 (USA 95) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,03-09-93,Cape Canaveral,28.3922;-80.6077,Atlas 5
"UFO-4 (USA 108, UFO F4 EHF) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,29-01-95,Cape Canaveral,28.3922;-80.6077,Atlas 5
"UFO-6 (USA 114, UFO F6 EHF) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,22-10-95,Cape Canaveral,28.3922;-80.6077,Atlas 5
"UFO-7 (USA 127, F7 EHF) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,25-07-96,Cape Canaveral,28.3922;-80.6077,Atlas 5
"UFO-8 (USA 138, UHF F/O F8) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,16-03-98,Cape Canaveral,28.3922;-80.6077,Atlas 5
"UFO-10 (USA 146, UHF F/O F10) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,24-11-99,Cape Canaveral,28.3922;-80.6077,Atlas 5
INMARSAT 3 F1 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,03-04-96,Cape Canaveral,28.3922;-80.6077,Atlas 5
"MSAT 2 (AMSC-1, ACTel-1)",USA/Canada,Mobile Satellite Ventures,Commercial,Communications,GEO,07-04-95,Cape Canaveral,28.3922;-80.6077,Atlas 5
"AMC-1 (Americom 1, GE-1)",USA,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,08-09-96,Cape Canaveral,28.3922;-80.6077,Atlas 5
"TDRS-8 (Tracking and Data Relay Satellite, TDRS-H)",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,30-06-00,Cape Canaveral,28.3922;-80.6077,Atlas 5
"TDRS-9 (Tracking and Data Relay Satellite, TDRS-I)",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,08-03-02,Cape Canaveral,28.3922;-80.6077,Atlas 5
"TDRS-10 (Tracking and Data Relay Satellite, TDRS-J)",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,04-12-02,Cape Canaveral,28.3922;-80.6077,Atlas 5
"DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,31-07-95,Cape Canaveral,28.3922;-80.6077,Atlas 5
"DSCS III-F11 (USA 148, DSCS III B-8) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,01-01-00,Cape Canaveral,28.3922;-80.6077,Atlas 5
"DSCS III-F12 (USA 153, DSCS III B-11) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,20-10-00,Cape Canaveral,28.3922;-80.6077,Atlas 5
"DSCS III-A3 (USA 167, DSCS III-A3) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,11-03-03,Cape Canaveral,28.3922;-80.6077,Atlas 5
"SDS III-4 (Satellite Data System) (NRO L-1, Nemesis, USA 179) ",USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Elliptical,31-08-04,Cape Canaveral,28.3922;-80.6077,Atlas 5
Echostar 3 ,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,05-10-97,Cape Canaveral,28.3922;-80.6077,Atlas 5
BermudaSat-1 (Echostar 6) ,USA,"Echostar Technologies, LLC - leased to Bermuda, operated by SES Satellites",Commercial,Communications,GEO,14-07-00,Cape Canaveral,28.3922;-80.6077,Atlas 5
"Intelsat 26 (JCSat R, JCSAT-4, Japan Communications Satellite 4)",USA,"Intelsat, S.A.",Commercial,Communications,GEO,16-02-97,Cape Canaveral,28.3922;-80.6077,Atlas 5
